DATASET,GP,FIFO/CS,DD/CS,FIFO/Relax,FIFO+DD/CS,FIFO+DD/CS+Relax
./input_25/cogent_rural_hard_s2.json,0.467271295,0.484656175,0.496675009,0.488925044,0.495497234,0.496169002
./input_25/cogent_rural_hard_s3.json,0.466698728,0.491208895,0.502136109,0.491830531,0.498349564,0.501136748
./input_25/cogent_rural_normal_s1.json,0.414536681,0.42212656,0.421302387,0.450274205,0.423512813,0.42614424
./input_25/cogent_rural_normal_s2.json,0.379658468,0.38090678,0.386239547,0.42204651,0.387007714,0.396379092
./input_25/cogent_rural_normal_s3.json,0.411202535,0.422799118,0.432676023,0.452543969,0.433722443,0.432572966
./input_25/cogent_uniform_easy_s1.json,0.39236129,0.38725554,0.390887122,0.439374729,0.388784249,0.401680314
./input_25/cogent_uniform_easy_s2.json,0.408888989,0.405352385,0.408891429,0.454981916,0.408636712,0.423116422
./input_25/cogent_uniform_easy_s3.json,0.405011444,0.405334718,0.408917395,0.44965889,0.406105059,0.425138617
./input_25/cogent_uniform_hard_s1.json,0.457544346,0.462628398,0.463654621,0.46112412,0.463207777,0.464558247
./input_25/cogent_uniform_hard_s2.json,0.462884415,0.489957757,0.49624559,0.488353597,0.497807932,0.498059584
./input_25/cogent_uniform_hard_s3.json,0.456402321,0.489527271,0.503845777,0.491768449,0.503431887,0.504278262
./input_25/cogent_uniform_normal_s1.json,0.393751473,0.396815222,0.404602648,0.439896138,0.400844124,0.414570308
./input_25/cogent_uniform_normal_s2.json,0.409555947,0.413990254,0.420911742,0.454072545,0.424007703,0.42753748
./input_25/cogent_uniform_normal_s3.json,0.411333839,0.416756616,0.422843534,0.457237407,0.427306733,0.434883964
./input_25/cogent_urban_easy_s1.json,0.382076707,0.386635735,0.388328494,0.442007665,0.390747318,0.405214467
./input_25/cogent_urban_easy_s2.json,0.391730001,0.398106821,0.395951621,0.446008891,0.398627763,0.411521001
./input_25/cogent_urban_easy_s3.json,0.391346729,0.395904908,0.402113321,0.441092645,0.401865155,0.426601474
./input_25/cogent_urban_hard_s1.json,0.487523341,0.487738361,0.488023102,0.487355273,0.487442736,0.487635906
./input_25/cogent_urban_hard_s2.json,0.463024466,0.484930766,0.492086867,0.484847003,0.494749053,0.493679987
./input_25/cogent_urban_hard_s3.json,0.457472563,0.493409988,0.503680727,0.492324258,0.502326217,0.502035178
./input_25/cogent_urban_normal_s1.json,0.397880562,0.401019416,0.410585336,0.458336875,0.4112992,0.417754686
./input_25/cogent_urban_normal_s2.json,0.413148297,0.419109627,0.424638436,0.46598665,0.415517516,0.427751528
./input_25/cogent_urban_normal_s3.json,0.413148297,0.419109627,0.424638436,0.44892894,0.422580364,0.433488322
